Unnamed: 0,Car,Review,Polarity_score,Sentiment
57,Mahindra Thar,"It's really a good car if u are an SUV fan, really not joking before buying this car I also felt like it would be like any other SUV, but when u drive it, this gives u really confident feeling. Its performance is really good and safety is also top notch. In this price range, this is the best car.",4.9094999999999995,Strongly Positive
58,Mahindra Thar,"Feature and performance are cool, but mileage is average. That has a powerful engine, and I like a strong engine for adventures.",4.723,Strongly Positive
59,Mahindra Thar,"Thar has a road presence but also drives on multiple road bumpers in both cases the Thar skids. The steering is also hard as compared to other SUVs. The mileage for Thar automatic petrol is approx 7.8kmpl, and I don't understand why it guzzles so much fuel just for being a higher CC engine. Overall it's a weekend vehicle.",-0.7655000000000001,Negative
60,Mahindra Thar,"Mahindra Thar is a very strong off-road SUV. It takes you effortlessly on all kinds of roads and makes your journey enjoyable. If you are an adventure lover then Thar is the best car for you. Its build quality is very strong, but it can disappoint you a bit in terms of mileage. Overall I like the car a lot.",4.359,Strongly Positive
61,Mahindra Thar,Superb and extraordinary vehicle better than other 4x4 vehicles and has classic colors. I have a Mahindra Thar in my life and my parents also like this Thar. This vehicle's performance and comfort are heart-touching. I love this vehicle. Value for money. ,4.7795,Strongly Positive
62,Mahindra Thar,"There is no doubt that Mahindra did an excellent job with Thar models and with time we are seeing modern changes as well. And Thar of today's time is giving goals to all the rivals in terms of having better hardware, power terrain options, and being simply rugged and classy. The price range is affordable starting with 16lacs.",4.2595,Strongly Positive
63,Mahindra Thar,"From the price point of view, power delivery is good. That itself is not a regular vehicle, and if are fond of this vehicle off-roader, so you don't have to worry about mileage. Sitting inside feels so high, and love it I don't think about any drawbacks if it's just for fun to drive.",4.715,Strongly Positive
64,Mahindra Thar,"Mahindra Thar has a rough and tough exterior and the capacity to hold heavy loads. It comes with an open rooftop, which does not suit hot and humid environments. I find this model the best option for adventurous long traveling. However, it does lack behind in terms of security features.",3.6755,Positive
65,Mahindra Thar,"You have a lot of alternatives when purchasing the recently released Mahindra Thar because it is available in 6 petrol and 7 diesel models. The excellent design of the new Mahindra Thar's small sport utility vehicle is another outstanding aspect. Furthermore, the newly released car may be said to be considerably plusher and more appealing to everyo...",4.1354999999999995,Strongly Positive
66,Mahindra Thar,"My experience, with the Mahindra car, is very comfortable and smooth ease in handling, and has a lot of features, with great mileage. On behalf of safety, it deals with good safety measures if any mishappening. Mind-blowing and amazing thar best 4 setter car love it.",4.9235,Strongly Positive
67,Mahindra Thar,"Mahindra Thar has a strong engine and is suitable for a tense drive. However, in terms of usefulness, this is not the car to choose. It has no cargo capacity, and this vehicle is more for show and prestige than actual day-to-day operation. 
 
",1.1315,Positive
68,Mahindra Thar,"The Mahindra Thar is a fantastic vehicle with an improved suspension that can be used both on and off-road and is quite comfy. Due to its robust construction, this SUV has very high maintenance costs. It is a distinctive vehicle from the other automobiles and has great ride quality and performance.",4.608499999999999,Strongly Positive
69,Mahindra Thar,Overall nice car with good power and looks. Only 4 people can sit and no space for luggage.,2.7115,Positive
70,Mahindra Thar,Thar is one of my favorite cars. The overall driving experience is good with the best performance and off-roading. It's a comfortable and the best adventure car.,4.8165000000000004,Strongly Positive
71,Mahindra Thar,"Available in two options, I bought the LX version and which has 18inch alloy wheels along with many interior modern updates such as an electronic driveline disconnect on the front axle, a different braking system, and blue sense connectivity among the best of what I like. Though I would want Mahindra to provide safety according to the off-roading.",4.3445,Strongly Positive
72,Mahindra Thar,My experience with the dealership was very good. I love Thar for its ruggedness. But the interior and comfort could be better. I have done off-roading with it. The only con of this car is that the rear seats are not comfortable.,4.0584999999999996,Strongly Positive
73,Mahindra Thar,"Mahindra Thar is the Best off-road SUV for the money. Though it is somewhat lacking in comfort, generally it is a super-stylish, super-powerful vehicle with a commanding road presence. Its average is low, but a 4x4 can climb steep slopes.",1.978,Positive
74,Mahindra Thar,"Mahindra Thar is the greatest off-road vehicle. Though it is somewhat lacking in comfort, generally it is a super-stylish, super-powerful vehicle with a commanding road presence. Its average is low, but a 4x4 can climb steep slopes. It has fantastic ride quality and it's amazing with performance.",4.648,Strongly Positive
75,Mahindra Thar,"The Mahindra Thar is stylish, has a powerful engine, and is a fun vehicle to drive. But this is not the vehicle you choose from a practicality standpoint. It lacks a boot and is more of a status symbol than something you would use on a daily basis. It's a fantastic automobile with an excellent interior, excellent drive, and great, exciting driving.",4.9245,Strongly Positive
76,Mahindra Thar,"Mahindra Thar is a magnificent SUV off-roading car and no SUV can give the feel like Thar. Still, obviously, along with this, it comes with some demerits such as ingress/egress, not being the easiest, and making it difficult and time-consuming for everyone around. Sometimes during heavy terrain ride feels bumpy and requires attention on suspension ...",0.47300000000000003,Positive
77,Mahindra Thar,Thar design is very interesting and looks so cool. It is comfortable for off-roading and hilly areas.,4.2565,Strongly Positive
78,Mahindra Thar,My best choice. The best car in the off-roader diesel variant is so good mileage. This car is so good in safety.,4.8175,Strongly Positive
79,Mahindra Thar,"The price range starts from 13lacs and can easily go up to 16.50lacs ex-showroom in Mumbai city. Thar is a feeling that not many will ever understand, and that is why very few people have Thar. Mahindra Rugged lineage and own driving attitude of Thar. , It has easy cut access, but one thing which is missing is the rear doors which makes it a little...",-0.577,Negative
80,Mahindra Thar,It is an amazing offroad performance. Gear shift turns on the way for the same feeling good movement and good move.,4.3895,Strongly Positive
81,Mahindra Thar,This machine is powerful and looks nice. This car is comfortable with a nice pickup.,4.467,Strongly Positive
82,Mahindra Thar,"I have never ever seen this type of car, my experience with this was totally awesome, feeling comfortable, all variants are looking so much beautiful, I'll suggest for my friends and family to purchase this. This is a value for money.",4.804,Strongly Positive
83,Mahindra Thar,"The best car in 4x4 is the best car ever seen This type best car in this price segment you can take. The Mahindra Thar is supremely capable. Period. As an off-roader, the Thar actually has what it takes to take on any kind of turf, be it sand, snow, mud, or even shallow waters. The new BS6 2020 Thar comes with several capable off-roading featu...",4.851,Strongly Positive
84,Mahindra Thar,Very good car for off-roading and good for the family. I have driven it very good experience in Thar nice maintainance and good ground clearance. Good car and very popular. It is a powerful car. The best car ever I have.,4.905,Strongly Positive
85,Mahindra Thar,"Mahindra Thar is the best car, the drive quality is great, and this car offers great comfort. Also, Mahindra Thar is good for safety as well. This car is the best for off-roading. ",4.898,Strongly Positive
86,Mahindra Thar,It's very safe and beautiful and it is very comfortable among other cars it has a very stylish look and very nice color.,4.665,Strongly Positive
87,Mahindra Thar,"The best off-roader in the budget, however, lacks somewhere in comfort, but it is an overall super powerful and super classy car with a mighty road presence, quiet low average but on 4x4 can climb up steep hills. Very good, comfortable look, attractive, mileage is also good. Everyone who purchases this car will satisfy by Mahindra. ",4.962,Strongly Positive
88,Mahindra Thar,"It is a nice SUV 4×4 in budget and it is comfortable but only 4 people have comfort and no complaints of Mahindra Thar because locking is gorgeous and it has a bold road presence, and my family loved the Thar nice SUV.",4.8165000000000004,Strongly Positive
89,Mahindra Thar,A great performance car with superb off-road capabilities. Excellent road presence but not suitable for family.,3.7714999999999996,Positive
90,Mahindra Thar,"Great mileage though the suspension is great, rear seats are a bit uncomfortable for 2 people. This car is good for off-roading.  ",4.2955,Strongly Positive
91,Mahindra Thar,The overall driving experience is good with the best performance and off-roading. It's a comfortable and the best adventure car.,4.7545,Strongly Positive
92,Mahindra Thar,"My experience, with the Mahindra car, is very comfortable and smooth. ease in handling and a lot of features, with great mileage. On behalf of safety, it deals with good safety measures if any mishappening. Looks wise is also great, all over the Mahindra Thar is a good car at all costs. It has a lot of space good for the tour.",4.922000000000001,Strongly Positive
93,Mahindra Thar,"This car is good for offroading and for showing off but practically if you re living in the city, it is not worth it.  Not a family car but youngesters gonna love this one. Not for middle class due to milege nd maintenance cost.",3.8755,Positive
94,Mahindra Thar,"Really nice experience. Comfortable seating, and safety in rough driving. Overall a perfect car for rough driving and driving on mountains. Four-by-four driving quality is the most amazing thing about this car. A perfect thing for long drives and adventure lovers. Quite a perfect experience driving this car. I love this car. Want to buy this car as...",4.9405,Strongly Positive
95,Mahindra Thar,This car is amazing best in comfort best in drive and amazing for off-road driving its engine is best powerful. Its comfort gives us good pleasure I think that is the best car ever for off-roading I love this car this is amazing I can't explain this in words it is a feeling of mine for that and I love the Thar and I love the Mahindra company.,4.9775,Strongly Positive
96,Mahindra Thar,Easy to control and look wise that is amazing .overall print a good image in people. people wanted to interact with me because of that I am a very happy and eligible user of this car.,4.7465,Strongly Positive
97,Mahindra Thar,It is good in all aspects except maintenance cost and mileage. It is a great off-roading car also.,3.953,Positive
98,Mahindra Thar,"Most devilish off-roading SUV by Mahindra. I bought Thar for the sole purpose of flaunting it everywhere. And it actually attracts the attention of everyone. I have Thar in a black matte finish, bought it last year around Diwali and I'm fully content with its engine, driving, and comfort it gives.",1.02,Positive
99,Mahindra Thar,"It is good in design, mileage, and an affordable price. It's a stylish car with excellent performance and the best satisfaction. With these proportions, handling a Thar in city traffic or finding a parking spot too for that matter is no hassle at all. On the contrary, it makes it quite fun to drive a city car with a 2498 CC engine, 105 bh...",4.725,Strongly Positive
100,Mahindra Thar,"Mahindra has now updated its Thar SUV this month, after which it has become even more special. In the Mahindra Thar 2022 version, both the bumpers are now black. While upgrading the new Thar, the company has now removed a USB port. I think the mileage of this car would have improved even more after the update.",3.632,Positive
101,Mahindra Thar,"Mahindra Thar is royal and the luxury car gives a lavish feel like you are the king it is fully comfortable and safe to drive It is easily driven to the hills and high places 
1. Acceleration is awesome 
2. It has a good interior 
3. Good sound 
4. Good seating comfort 
5. It has good stability Buy a Mahindra Thar and be the king of the place you l...",4.907500000000001,Strongly Positive
102,Mahindra Thar,"One of the best cars in India. It is good in design, mileage, and an affordable price. It's a stylish car with excellent performance and the best satisfaction.",4.789,Strongly Positive
103,Mahindra Thar,"This is a great car for off-roading, it comes with amazing features and has enough ground clearance which makes it easy to drive. The looks and design are also great and this is a value for money.",4.769,Strongly Positive
104,Mahindra Thar,I really liked this car as it's very powerful with a good look. Its features are really nice and I love driving this car. Long drives make me feel good.,4.8205,Strongly Positive
105,Mahindra Thar,"On the go, the Thar feels very nimble, and lane-changing maneuvers are quick and easy. The steering though feels a bit heavy. As far as the ride quality is concerned, the new Thar is miles ahead of the older car. It absorbs well but the thing is that at high speeds it tends to get a bit floaty",1.806,Positive
106,Mahindra Thar,My Mahindra Thar is very good in off roading but it is not comfortable for at least 4 people to sit inside it is only best for 2 people. ,3.2675,Positive
107,Mahindra Thar,Mahindra Thar is the best SUV in the Indian market. It is competing with the Jeep Compass which is many times more costly than this car. The mileage of the car is not good. ,1.367,Positive
108,Mahindra Thar,"One of the best cars in India. It is good in design, mileage and an affordable price. It's a stylish car with excellent performance and the best satisfaction.",4.789,Strongly Positive
109,Mahindra Thar,"Thar is ok but you need one more car for your family, actually for a middle-class family. Boot space ok but in the dashboard, you can't get enough space. In the power segment, it's said to be king in all of your SUV segments for offroad. You never feel under power, torque, engine power ..its made for all Indian conditions.",2.6334999999999997,Positive
110,Mahindra Thar,"A perfect car for someone who loves off-road. Road presence is exciting, safety is good and maintenance cost is high. ",4.7299999999999995,Strongly Positive
111,Mahindra Thar,This is the best car for a long drive with good performance. Its road grip is excellent and best for off-roading.,4.716,Strongly Positive
112,Mahindra Thar,It is my dream car with lots of features and performance. Power is awesome and the most and ultimate thing is that while off-roading it feels easy to cross the way which is tough for other cars.,4.088,Strongly Positive
113,Mahindra Thar,"Mahindra Thar is the best SUV in the Indian market. It is competing with the jeep compass which is many times more costly than this car. The mileage of the car is lesser than other cars, It's about 12 km. It does offer a decent driving experience and has enough grunt to perform effortlessly in all situations. I love this car.",4.1375,Strongly Positive
114,Mahindra Thar,"This car is a good car and my overall experience was amazing but when we go to the comfort side this car is not that much good. The interior is basic not like other cars of this range but if you want a stylish car it could be a very good choice. It gives good mileage. Overall, this is a value for money. 
",4.82,Strongly Positive
115,Mahindra Thar,Good off-roading vehicle. Fit for all types of roads. The back setting needs a little improvement. But overall it is a good vehicle.,4.064,Strongly Positive
116,Mahindra Thar,"Amazing for off-roading, huge tyres to enhance driving comfort. Great performance, and lack of boot space.",4.43,Strongly Positive
117,Mahindra Thar,"This is a good car in 20 lac. Its performance, design, and power are also nice.",3.4539999999999997,Positive
118,Mahindra Thar,"If you are looking for adventure purposes go take it do not think twice, but if you want to take and use it in the city think of it. It is comfortable but you will not get the smoothness and go for the diesel version it may be going a bit costlier than petrol, but it is worth it. ",4.18,Strongly Positive
119,Mahindra Thar,Very good features and also good in style. Safety is mind-blowing and very comfortable for a long drive.,4.5745000000000005,Strongly Positive
120,Mahindra Thar,Nice car it is so good for off-road and decent in the city also when you sit in this car it feels like you are a lot above the ground.,4.2095,Strongly Positive
121,Mahindra Thar,The Thar is a good car for off-roading its performance is very nice and ground clearance is very comfortable. Driving modes are awesome and the best in the SUV segment and top off-roading quality.,4.811,Strongly Positive
122,Mahindra Thar,"This is the best choice for drives, for looks, for showoff, for good mileage, for less maintenance cost, and everything. ",3.982,Positive
123,Mahindra Thar,Thar is one of the best cars. Good mileage with the best features and a good sound system. Value for money.,4.7425,Strongly Positive
124,Mahindra Thar,"It's so amazing and beautiful model, it is so comfortable and a royal feeling I get when I drive it is nice, the is moving smoot and can drive easily when stop near signals all are looking at this car. How they got this thought I don't know this is my favorite car among all the cars and all like this car.",4.851,Strongly Positive
125,Mahindra Thar,The best off-road vehicle I ever experienced in my life Thar is a Powerful and excellent vehicle that can easily travel on any type of road India's only brand Mahindra I prefer this vehicle for long drives in a hilly area in the rainy season it is the only weapon to me to travel out I love it a lot.,4.7065,Strongly Positive
126,Mahindra Thar,"It is the best vehicle for bad roads, the driving capability of the vehicle is also good, everything else is fine, it depends on the driver. The reality of this SUV is that no one can beat this vehicle in its segments. The real fun of driving this vehicle is enjoying in the hills and bad roads.",3.753,Positive
